Günler;Şimdi
Perşembe;994,06
Çarşamba;985,85
Salı;968,11
Pazartesi;986,95
Cuma;996,35
Perşembe;993,82
Çarşamba;993,63
Salı;1.002,01
Pazartesi;997,36
Cuma;964,85
Perşembe;955,73
Çarşamba;948,31
Salı;954,21
Pazartesi;951,82
Cuma;940,22
Perşembe;941,58
Çarşamba;942,44
Salı;942,19
Pazartesi;922,5
Cuma;907,87
Perşembe;905,01
Çarşamba;926,06
Salı;928,26
Pazartesi;941,03
Cuma;938,09
Pazartesi;903,46
Cuma;905,9
Perşembe;900,12
Çarşamba;871,86
Salı;867,78
Pazartesi;855,45
Cuma;860,72
Perşembe;845,96
Çarşamba;836,75
Salı;853,1
Pazartesi;867,71
Cuma;867,96
Perşembe;872,04
Çarşamba;873,8
Salı;880,23
Pazartesi;862,83
Cuma;885,33
Perşembe;886,86
Çarşamba;902,72
Salı;914,82
Pazartesi;929,82
Cuma;939,46
Perşembe;941,79
Salı;954,16
Pazartesi;945,35
Cuma;947,83
Perşembe;944,99
Çarşamba;961,42
Pazartesi;959,53
Cuma;968,61
Perşembe;968,86
Çarşamba;982,03
Salı;968,09
Pazartesi;951,92
Cuma;959,77
Perşembe;960,73
Çarşamba;970,15
Salı;981,35
Pazartesi;969,78
Cuma;987,83
Perşembe;983,37
Çarşamba;944,41
Salı;935,33
Pazartesi;941,01
Cuma;937,84
Perşembe;921,2
Çarşamba;918,55
Salı;973,79
Pazartesi;993,26
Cuma;998,35
Perşembe;1.034,08
Çarşamba;1.033,10
Salı;1.048,62
Pazartesi;1.045,95
Cuma;1.033,04
Perşembe;1.024,32
Çarşamba;1.021,97
Salı;1.017,21
Pazartesi;1.008,50
Cuma;1.015,38
Perşembe;1.022,83
Çarşamba;1.034,53
Salı;1.037,31
Pazartesi;1.041,93
Cuma;1.032,67
Perşembe;1.045,30
Çarşamba;1.041,41
Salı;1.050,82
Pazartesi;1.043,30
Cuma;1.031,86
Perşembe;1.024,94
Çarşamba;1.019,71
Salı;1.017,42
Pazartesi;1.017,29
Cuma;1.027,15
Perşembe;1.021,30
Çarşamba;1.016,46
Salı;1.037,62
Pazartesi;1.043,95
Cuma;1.024,52
Perşembe;1.027,84
Çarşamba;1.025,84
Salı;1.024,48
Pazartesi;1.022,55
Cuma;1.029,37
Perşembe;1.040,74
Çarşamba;1.041,89
Salı;1.040,98
Pazartesi;1.012,90
Cuma;1.018,01
Perşembe;1.017,74
Çarşamba;1.001,41
Salı;996,77
Pazartesi;979,55
Cuma;984,55
Perşembe;968,17
Çarşamba;954,11
Salı;931,73
Pazartesi;920,54
Cuma;916,87
Perşembe;911,96
Çarşamba;911,57
Salı;906,97
Pazartesi;899,51
Cuma;888,31
Perşembe;873,99
Çarşamba;888,65
Pazartesi;912,7
Cuma;904,35
Perşembe;909,75
Çarşamba;910,02
Salı;908,3
Pazartesi;915,27
Cuma;918,61
Perşembe;918,54
Çarşamba;925,53
Salı;910,74
Pazartesi;899,62
Cuma;905,29
Perşembe;913,87
Çarşamba;900,51
Salı;918,01
Pazartesi;922,27
Cuma;936,99
Perşembe;928,27
Çarşamba;939,7
Salı;938,8
Pazartesi;949,74
Cuma;954,16
Perşembe;951,26
Çarşamba;940,71
Salı;935,17
Pazartesi;939,62
Cuma;930,03
Perşembe;926,29
Çarşamba;927,08
Salı;916,86
Pazartesi;945,71
Cuma;936,16
Perşembe;932,97
Çarşamba;932,87
Salı;927,09
Pazartesi;914,45
Cuma;928,39
Perşembe;935,06
Çarşamba;954,93
Salı;947,28
Pazartesi;959,48
Cuma;941,23
Perşembe;923,87
Çarşamba;902,01
Salı;900
Cuma;905,42
Perşembe;937,48
Çarşamba;926,92
Salı;934,69
Pazartesi;946,82
Cuma;964,55
Perşembe;974,54
Çarşamba;989,91
Salı;984,66
Pazartesi;986,31
Cuma;966,57
Perşembe;947,48
Çarşamba;944,41
Salı;967,32
Pazartesi;960,87
Cuma;948,83
Perşembe;944,97
Çarşamba;971,88
Salı;981,61
Pazartesi;985,37
Cuma;999,57
Perşembe;1.002,99
Çarşamba;991,49
Salı;992,92
Pazartesi;995,47
Cuma;979,88
Perşembe;961,21
Çarşamba;966,04
Salı;948,87
Pazartesi;943,48
Cuma;947,6
Perşembe;944,19
Çarşamba;922,27
Salı;923,89
Pazartesi;916,98
Cuma;932,74
Perşembe;927,63
Çarşamba;927,91
Salı;931,89
Pazartesi;939,16
Cuma;927,23
Çarşamba;932,81
Salı;938,67
Pazartesi;912,84
Pazartesi;901,86
Cuma;887,35
Perşembe;871,43
Çarşamba;902,63
Salı;934,19
Pazartesi;926,85
Cuma;949,4
Perşembe;971,85
Çarşamba;969,74
Salı;961,61
Pazartesi;941,74
Cuma;956,1
Perşembe;945,43
Çarşamba;972,11
Salı;969,52
Pazartesi;961,58
Cuma;955,85
Perşembe;948,17
Çarşamba;953,69
Salı;921,34
Pazartesi;953,05
Cuma;940,82
Perşembe;930,03
Çarşamba;923,22
Salı;916,3
Pazartesi;897,44
Cuma;898,98
Perşembe;895,71
Çarşamba;912,89
Salı;962,75
Pazartesi;992,53
Cuma;987,34
Perşembe;990,97
Çarşamba;972,3
Salı;965,88
Pazartesi;967,73
Cuma;965,2
Perşembe;962,27
Çarşamba;959,55
Salı;944,08
Pazartesi;940,08
Cuma;958,52
Perşembe;950,57
Çarşamba;945,52
Salı;944,37
Pazartesi;930,43
Perşembe;945,41
Çarşamba;935,05
Salı;953,07
Pazartesi;966,61
Cuma;958,76
Perşembe;986,24
Çarşamba;966,58
Salı;978,23
Pazartesi;992,5
Cuma;991,71
Perşembe;1.006,52
Çarşamba;1.038,69
Salı;1.051,13
Pazartesi;1.065,25
Cuma;1.032,00
Perşembe;1.011,38
Çarşamba;1.018,92
Salı;1.033,28
Pazartesi;1.022,58
Cuma;1.024,10
Perşembe;1.018,69
Çarşamba;1.021,58
Salı;1.015,40
Pazartesi;1.033,70
Cuma;1.018,52
Perşembe;1.023,81
Çarşamba;1.007,81
Salı;993,64
Pazartesi;1.008,66
Cuma;1.025,99
Perşembe;1.029,09
Çarşamba;1.047,26
Pazartesi;1.042,83
Cuma;1.076,14
Perşembe;1.070,15
Çarşamba;1.074,01
Salı;1.100,59
Cuma;1.109,32
Perşembe;1.121,22
Çarşamba;1.120,99
Salı;1.087,45
Pazartesi;1.106,88
Cuma;1.096,04
Perşembe;1.102,35
Çarşamba;1.092,53
Salı;1.107,13
Pazartesi;1.131,56
Cuma;1.147,38
Perşembe;1.149,48
Çarşamba;1.139,76
Salı;1.145,94
Pazartesi;1.144,42
Cuma;1.149,30
Perşembe;1.148,45
Çarşamba;1.141,29
Salı;1.161,97
Pazartesi;1.164,20
Cuma;1.166,03
Perşembe;1.171,10
Çarşamba;1.176,51
Salı;1.164,32
Pazartesi;1.154,50
Cuma;1.172,16
Perşembe;1.172,02
Çarşamba;1.175,93
Salı;1.182,67
Pazartesi;1.184,11
Cuma;1.169,15
Perşembe;1.165,67
Çarşamba;1.168,42
Salı;1.167,10
Pazartesi;1.169,46
Cuma;1.168,59
Perşembe;1.176,32
Çarşamba;1.189,51
Salı;1.188,32
Pazartesi;1.187,92
Cuma;1.175,21
Perşembe;1.168,41
Çarşamba;1.163,16
Salı;1.134,33
Pazartesi;1.158,82
Cuma;1.165,11
Perşembe;1.162,26
Çarşamba;1.134,55
Salı;1.144,94
Pazartesi;1.148,22
Cuma;1.135,90
Perşembe;1.142,64
Çarşamba;1.155,70
Salı;1.154,57
Pazartesi;1.168,53
Cuma;1.181,19
Perşembe;1.190,44
Çarşamba;1.195,29
Salı;1.193,03
Pazartesi;1.208,45
Cuma;1.207,02
Perşembe;1.186,04
Çarşamba;1.196,48
Salı;1.184,00
Pazartesi;1.172,35
Cuma;1.151,47
Perşembe;1.168,56
Çarşamba;1.165,93
Salı;1.144,18
Pazartesi;1.121,59
Cuma;1.146,45
Perşembe;1.147,19
Çarşamba;1.135,89
Salı;1.150,23
Pazartesi;1.163,05
Cuma;1.166,38
Perşembe;1.154,91
Çarşamba;1.160,52
Salı;1.175,24
Cuma;1.153,33
Perşembe;1.144,80
Çarşamba;1.121,50
Salı;1.120,07
Pazartesi;1.117,65
Cuma;1.110,99
Perşembe;1.112,72
Çarşamba;1.104,55
Salı;1.101,77
Pazartesi;1.102,48
Cuma;1.093,30
Perşembe;1.096,66
Çarşamba;1.081,53
Salı;1.090,49
Pazartesi;1.091,56
Cuma;1.079,21
Perşembe;1.064,48
Çarşamba;1.053,04
Salı;1.062,60
Pazartesi;1.052,15
Cuma;1.035,59
Perşembe;1.039,84
Çarşamba;1.023,42
Salı;1.020,68
Pazartesi;1.047,60
Cuma;1.045,39
Perşembe;1.050,26
Çarşamba;1.059,64
Salı;1.052,68
Pazartesi;1.039,12
Cuma;1.062,39
Perşembe;1.069,77
Çarşamba;1.077,17
Salı;1.101,48
Pazartesi;1.088,60
Cuma;1.089,49
Perşembe;1.102,46
Çarşamba;1.118,95
Salı;1.122,72
Pazartesi;1.141,66
Cuma;1.112,93
Perşembe;1.129,95
Çarşamba;1.130,24
Salı;1.101,43
Pazartesi;1.084,67
Cuma;1.078,84
Perşembe;1.073,35
Çarşamba;1.083,55
Salı;1.072,06
Pazartesi;1.073,03
Cuma;1.084,89
Perşembe;1.084,34
Çarşamba;1.069,26
Salı;1.069,91
Pazartesi;1.064,74
Cuma;1.062,26
Perşembe;1.059,32
Çarşamba;1.038,16
Salı;1.033,94
Pazartesi;1.012,98
Cuma;1.041,37
Perşembe;1.043,34
Çarşamba;1.045,48
Salı;1.039,08
Pazartesi;1.039,31
Cuma;1.029,08
Perşembe;1.026,51
Çarşamba;1.012,18
Salı;1.039,29
Pazartesi;1.022,70
Cuma;1.041,23
Perşembe;1.040,01
Çarşamba;1.053,24
Salı;1.049,18
Pazartesi;1.065,35
Cuma;1.077,42
Perşembe;1.082,44
Çarşamba;1.081,56
Salı;1.091,30
Pazartesi;1.094,58
Cuma;1.084,52
Perşembe;1.097,43
Çarşamba;1.096,12
Salı;1.088,73
Perşembe;1.100,10
Salı;1.104,23
Pazartesi;1.103,40
Cuma;1.097,55
Perşembe;1.091,54
Çarşamba;1.089,53
Salı;1.085,94
Pazartesi;1.086,15
Cuma;1.072,02
Perşembe;1.068,25
Çarşamba;1.068,62
Salı;1.069,13
Pazartesi;1.095,37
Cuma;1.069,63
Perşembe;1.078,00
Çarşamba;1.087,15
Salı;1.096,39
Pazartesi;1.097,81
Cuma;1.085,45
Perşembe;1.071,54
Çarşamba;1.065,25
Salı;1.061,47
Pazartesi;1.075,31
Cuma;1.077,00
Perşembe;1.083,92
Çarşamba;1.072,06
Salı;1.070,41
Pazartesi;1.067,11
Cuma;1.068,43
Perşembe;1.067,36
Çarşamba;1.074,18
Salı;1.057,18
Pazartesi;1.062,17
Cuma;1.051,76
Perşembe;1.042,10
Çarşamba;1.038,10
Salı;1.031,83
Pazartesi;1.010,97
Cuma;1.000,84
Perşembe;1.006,27
Çarşamba;1.007,44
Salı;1.012,08
Pazartesi;1.005,22
Cuma;1.004,40
Perşembe;1.001,90
Çarşamba;1.006,18
Cuma;996,39
Perşembe;1.000,72
Çarşamba;993,9
Salı;992,69
Pazartesi;993,32
Cuma;981,93
Perşembe;987,37
Çarşamba;996,36
Salı;993
Pazartesi;994,42
Cuma;989,43
Perşembe;979,78
Çarşamba;976,17
Salı;983,32
Pazartesi;981,92
Cuma;988,68
Perşembe;973,66
Çarşamba;975,42
Salı;973,48
Pazartesi;977,26
Cuma;975,33
Perşembe;977,13
Çarşamba;983,14
Salı;977,17
Pazartesi;964
Perşembe;951,47
Çarşamba;957,25
Salı;961,62
Pazartesi;955,88
Cuma;949,96
Perşembe;951,14
Çarşamba;961,94
Salı;953,23
