Günler;
Salı;-0,023735896
Pazartesi;-0,012082619
Cuma;-0,003994759
Perşembe;-0,005369566
Çarşamba;-0,000427742
Salı;-0,005059014
Pazartesi;-0,008259203
Cuma;-0,012529389
Perşembe;-0,016251847
Çarşamba;0,016634523
Pazartesi;0,026703782
Cuma;-0,009190786
Perşembe;0,005953383
Çarşamba;0,000296741
Salı;-0,001891857
Pazartesi;0,007644383
Cuma;0,003642554
Perşembe;-7,6205E-05
Çarşamba;0,007581093
Salı;-0,016109091
Pazartesi;-0,012285004
Cuma;0,006282882
Perşembe;0,009432995
Çarşamba;-0,01472706
Salı;0,019247014
Pazartesi;0,004629739
Cuma;0,015834587
Perşembe;-0,009349971
Çarşamba;0,012238037
Salı;-0,000958211
Pazartesi;0,011585799
Cuma;0,004643109
Perşembe;-0,003043951
Çarşamba;-0,011152512
Salı;-0,005906578
Pazartesi;0,004747207
Cuma;-0,010258695
Perşembe;-0,004029483
Çarşamba;0,000852501
Salı;-0,011085073
Pazartesi;0,030981179
Cuma;-0,010149566
Perşembe;-0,003413356
Çarşamba;-0,00010719
Salı;-0,006215207
Pazartesi;-0,013727857
Cuma;0,015129111
Perşembe;0,007158795
Çarşamba;0,021027341
Salı;-0,008043319
Pazartesi;0,012796751
Cuma;-0,01920394
Perşembe;-0,018616161
Çarşamba;-0,023945763
Salı;-0,002230843
Cuma;0,006004161
Perşembe;0,0347965
Çarşamba;-0,011328162
Salı;0,008347662
Pazartesi;0,012894078
Cuma;0,01855267
Perşembe;0,010303893
Çarşamba;0,015648465
Salı;-0,005317626
Pazartesi;0,001674303
Cuma;-0,020216985
Perşembe;-0,019947894
Çarşamba;-0,003245435
Salı;0,023968967
Pazartesi;-0,006690237
Cuma;-0,012609477
Perşembe;-0,004076466
Çarşamba;0,028079159
Salı;0,009961741
Pazartesi;0,003823124
Cuma;0,014307981
Perşembe;0,003415631
Çarşamba;-0,011531956
Salı;0,001441235
Pazartesi;0,002564891
Cuma;-0,015784872
Perşembe;-0,019237208
Çarşamba;0,005012334
Salı;-0,017933438
Pazartesi;-0,005696636
Cuma;0,004357305
Perşembe;-0,003605055
Çarşamba;-0,023489395
Salı;0,001754995
Pazartesi;-0,007507355
Cuma;0,017040829
Perşembe;-0,005493545
Çarşamba;0,000301799
Salı;0,004280037
Pazartesi;0,007771077
Cuma;-0,012784212
Çarşamba;0,005999889
Salı;0,006262444
Pazartesi;-0,027903361
Pazartesi;-0,012101321
Cuma;-0,016219804
Perşembe;-0,018103953
Çarşamba;0,035177184
Salı;0,03436712
Pazartesi;-0,007888103
Cuma;0,024038466
Perşembe;0,023371265
Çarşamba;-0,002173477
Salı;-0,008419031
Pazartesi;-0,020879735
Cuma;0,015133282
Perşembe;-0,01122266
Çarşamba;0,027829116
Salı;-0,002667863
Pazartesi;-0,008223339
Cuma;-0,005976768
Perşembe;-0,008067186
Çarşamba;0,00580486
Salı;-0,034509539
Pazartesi;0,033838236
Cuma;-0,012915533
Perşembe;-0,011534992
Çarşamba;-0,007349284
Salı;-0,007523737
Pazartesi;-0,020797556
Cuma;0,001714522
Perşembe;-0,003644087
Çarşamba;0,018998692
Salı;0,053178381
Pazartesi;0,030463466
Cuma;-0,00524278
Perşembe;0,003669803
Çarşamba;-0,019019863
Salı;-0,006624796
Pazartesi;0,00191352
Cuma;-0,002617789
Perşembe;-0,003040257
Çarşamba;-0,002830652
Salı;-0,016253516
Pazartesi;-0,00424593
Cuma;0,01942545
Perşembe;-0,008328624
Çarşamba;-0,005326764
Salı;-0,001217002
Pazartesi;-0,014871194
Perşembe;0,015971851
Çarşamba;-0,011018692
Salı;0,019088349
Pazartesi;0,014106752
Cuma;-0,008154322
Perşembe;0,02825895
Çarşamba;-0,020135665
Salı;0,011980748
Pazartesi;0,014482196
Cuma;-0,000796287
Perşembe;0,01482339
Çarşamba;0,031461467
Salı;0,011905472
Pazartesi;0,013343737
Cuma;-0,031710846
Perşembe;-0,020182932
Çarşamba;0,007427508
Salı;0,013994966
Pazartesi;-0,010409363
Cuma;0,001485333
Perşembe;-0,00529669
Çarşamba;0,00283296
Salı;-0,006067825
Pazartesi;0,017861975
Cuma;-0,014794005
Perşembe;0,005180369
Çarşamba;-0,015751303
Salı;-0,014159971
Pazartesi;0,015003028
Cuma;0,017035283
Perşembe;0,003016916
Çarşamba;0,017502313
Pazartesi;-0,004239058
Cuma;0,031442393
Perşembe;-0,005581739
Çarşamba;0,003600481
Salı;0,024447093
Cuma;0,007900815
Perşembe;0,010670163
Çarşamba;-0,000205155
Salı;-0,030376718
Pazartesi;0,017709741
Cuma;-0,009841563
Perşembe;0,00574058
Çarşamba;-0,008948157
Salı;0,013274974
Pazartesi;0,02182613
Cuma;0,013883871
Perşembe;0,001828584
Çarşamba;-0,008491952
Salı;0,005407547
Pazartesi;-0,001327302
Cuma;0,004255103
Perşembe;-0,000739854
Çarşamba;-0,006254006
Salı;0,017957639
Pazartesi;0,001917315
Cuma;0,001570661
Perşembe;0,004338661
Çarşamba;0,004608951
Salı;-0,010415203
Pazartesi;-0,008469876
Cuma;0,015180851
Perşembe;-0,000119445
Çarşamba;0,003330568
Salı;0,00571527
Pazartesi;0,001216843
Cuma;-0,012714448
Perşembe;-0,00298096
Çarşamba;0,00235638
Salı;-0,001130369
Pazartesi;0,002020064
Cuma;-0,00074421
Perşembe;0,006593027
Çarşamba;0,011150536
Salı;-0,001000913
Pazartesi;-0,000336666
Cuma;-0,010757024
Perşembe;-0,005803005
Çarşamba;-0,004503411
Salı;-0,025098271
Pazartesi;0,021360078
Cuma;0,005413257
Perşembe;-0,002449118
Çarşamba;-0,024130289
Salı;0,009116137
Pazartesi;0,002860683
Cuma;-0,010787629
Perşembe;0,005916086
Çarşamba;0,011364846
Salı;-0,000978241
Pazartesi;0,012018568
Cuma;0,010775856
Perşembe;0,007800582
Çarşamba;0,004065847
Salı;-0,001892544
Pazartesi;0,012842257
Cuma;-0,001184035
Perşembe;-0,017534485
Çarşamba;0,008763886
Salı;-0,010485376
Pazartesi;-0,009888255
Cuma;-0,017970894
Perşembe;0,014732835
Çarşamba;-0,00225317
Salı;-0,018830829
Pazartesi;-0,019940902
Cuma;0,02192289
Perşembe;0,000645263
Çarşamba;-0,009898989
Salı;0,012545438
Pazartesi;0,011083942
Cuma;0,00285907
Perşembe;-0,009882516
Çarşamba;0,004845762
Salı;0,012604202
Cuma;-0,018818972
Perşembe;-0,007423461
Çarşamba;-0,020562874
Salı;-0,001275892
Pazartesi;-0,002162917
Cuma;-0,005976757
Perşembe;0,001555959
Çarşamba;-0,007369456
Salı;-0,002520035
Pazartesi;0,00064421
Cuma;-0,008361542
Perşembe;0,003068552
Çarşamba;-0,013892492
Salı;0,008250431
Pazartesi;0,000980729
Cuma;-0,011378574
Perşembe;-0,013742875
Çarşamba;-0,010805198
Salı;0,009037516
Pazartesi;-0,009883045
Cuma;-0,015864377
Perşembe;0,004095543
Çarşamba;-0,015916895
Salı;-0,002680888
Pazartesi;0,026032762
Cuma;-0,002111812
Perşembe;0,004647731
Çarşamba;0,008891475
Salı;-0,006589934
Pazartesi;-0,012965092
Cuma;0,022146886
Perşembe;0,006922585
Çarşamba;0,006893559
Salı;0,022317498
Pazartesi;-0,011762263
Cuma;0,00081723
Perşembe;0,01183435
Çarşamba;0,014846699
Salı;0,003363567
Pazartesi;0,016729031
Cuma;-0,025487166
Perşembe;0,015177207
Çarşamba;0,000256616
Salı;-0,025820664
Pazartesi;-0,015333542
Cuma;-0,005389403
Perşembe;-0,005101791
Çarşamba;0,009458089
Salı;-0,010660656
Pazartesi;0,000904391
Cuma;0,010992177
Perşembe;-0,000507092
Çarşamba;-0,014004687
Salı;0,000607712
Pazartesi;-0,004843895
Cuma;-0,002331924
Perşembe;-0,002771521
Çarşamba;-0,020177277
Salı;-0,004073168
Pazartesi;-0,020480266
Cuma;0,027640672
Perşembe;0,001889952
Çarşamba;0,002049004
Salı;-0,006140404
Pazartesi;0,000221325
Cuma;-0,009891832
Perşembe;-0,0025005
Çarşamba;-0,014058279
Salı;0,026431367
Pazartesi;-0,016091599
Cuma;0,017956518
Perşembe;-0,001172378
Çarşamba;0,012640799
Salı;-0,003862221
Pazartesi;0,015294477
Cuma;0,011265911
Perşembe;0,004648458
Çarşamba;-0,000813309
Salı;0,008965203
Pazartesi;0,003001082
Cuma;-0,009233235
Perşembe;0,01183359
Çarşamba;-0,001194411
Salı;-0,006764792
Perşembe;0,010389205
Salı;0,003747175
Pazartesi;-0,000751938
Cuma;-0,005315899
Perşembe;-0,00549088
Çarşamba;-0,001843133
Salı;-0,003300439
Pazartesi;0,000193362
Cuma;-0,013094614
Perşembe;-0,003522924
Çarşamba;0,000346301
Salı;0,000477137
Pazartesi;0,024246972
Cuma;-0,023779411
Perşembe;0,007794678
Çarşamba;0,008452121
Salı;0,008463372
Pazartesi;0,001294322
Cuma;-0,011322639
Perşembe;-0,012897781
Çarşamba;-0,005887353
Salı;-0,003554774
Pazartesi;0,012954252
Cuma;0,001570406
Perşembe;0,006404701
Çarşamba;-0,011002068
Salı;-0,001540279
Pazartesi;-0,003087693
Cuma;0,001236221
Perşembe;-0,001001971
Çarşamba;0,00636927
Salı;-0,015952594
Pazartesi;0,004709
Cuma;-0,009849034
Perşembe;-0,009227043
Çarşamba;-0,003845789
Salı;-0,006058194
Pazartesi;-0,020423659
Cuma;-0,010070619
Perşembe;0,005410778
Çarşamba;0,001162034
Salı;0,004595159
Pazartesi;-0,006801196
Cuma;-0,000816075
Perşembe;-0,002492151
Çarşamba;0,004262785
Cuma;-0,009777514
Perşembe;0,004336273
Çarşamba;-0,006838422
Salı;-0,001218168
Pazartesi;0,000634438
Cuma;-0,011532845
Perşembe;0,00552482
Çarşamba;0,009063796
Salı;-0,003377974
Pazartesi;0,001428989
Cuma;-0,005030633
Perşembe;-0,009800963
Çarşamba;-0,003691305
Salı;0,00729785
Pazartesi;-0,001424763
Cuma;0,006860881
Perşembe;-0,015308553
Çarşamba;0,001805981
Salı;-0,001990867
Pazartesi;0,003875457
Cuma;-0,001976862
Perşembe;0,001843828
Çarşamba;0,006131828
