Gün;Getiri
Pazartesi;0,002186098
Salı;-0,01600184
Çarşamba;-0,02316374
Perşembe;0,009808557
Cuma;-0,013535961
Pazartesi;-0,002962773
Salı;0,017008963
Çarşamba;-0,004649499
Perşembe;0,033201991
Cuma;0,000990988
Pazartesi;-0,008767077
Salı;0,003600069
Çarşamba;0,003618157
Perşembe;-0,011677804
Cuma;0,017381197
Pazartesi;0,010974804
Salı;-0,022710554
Çarşamba;-0,011669988
Perşembe;0,004706335
Cuma;0,003214
Pazartesi;0,004684873
Salı;-0,032652731
Çarşamba;-0,010046434
Perşembe;0,004477547
Cuma;0,012450697
Pazartesi;-0,022046763
Salı;0,029659234
Çarşamba;0,00654672
Perşembe;0,008772193
Cuma;-0,014288205
Pazartesi;-0,005785692
Salı;0,005310113
Çarşamba;0,003055613
Perşembe;0,001358567
Cuma;-0,001042457
Pazartesi;0,014418537
Salı;0,021207218
Çarşamba;-0,001327626
Perşembe;-0,003457035
Cuma;-0,010505334
Pazartesi;-0,013547744
Salı;0,01535784
Çarşamba;0,045844602
Perşembe;-0,010135197
Cuma;0,03039194
Pazartesi;0,008915963
Salı;0,015947078
Çarşamba;-0,002953961
Perşembe;0,012616822
Cuma;0,014404112
Pazartesi;-0,001295908
Salı;0,019913794
Çarşamba;-0,020741849
Perşembe;0,009905356
Cuma;-0,00567568
Pazartesi;0,014183473
Salı;-0,018288897
Çarşamba;-0,000538536
Perşembe;0,015936101
Cuma;-0,001169766
Pazartesi;-0,000394765
Salı;-0,003778557
Perşembe;-0,010703519
Cuma;-0,013938186
Pazartesi;0,014048691
Salı;-0,001160911
Çarşamba;0,021302289
Cuma;0,017272004
Pazartesi;-0,005309511
Salı;0,005721885
Çarşamba;-0,002970227
Perşembe;0,010812781
Cuma;-0,002894052
Pazartesi;0,004924135
Salı;-0,00210926
Çarşamba;0,0035831
Perşembe;-0,010841218
Cuma;-0,002915396
Salı;0,00327424
Çarşamba;0,015819986
Perşembe;0,020557624
Cuma;0,000230615
Pazartesi;0,006919294
Salı;-0,013706214
Çarşamba;0,00594107
Perşembe;0,016593407
Cuma;-0,000126111
Pazartesi;-0,008117102
Salı;0,002146482
Çarşamba;-0,005508815
Perşembe;0,017928515
Cuma;0,007428203
Pazartesi;0,004418196
Salı;0,011303729
Çarşamba;-0,032997586
Perşembe;0,010235839
Cuma;-0,010349739
Pazartesi;-0,017439705
Salı;0,004753899
Çarşamba;0,00098649
Perşembe;0,012268687
Cuma;-0,008332429
Pazartesi;0,011741868
Salı;-0,004307928
Çarşamba;0,000151914
Perşembe;-0,011381264
Cuma;0,004700601
Pazartesi;0,000216614
Salı;-0,01776442
Çarşamba;-0,003572848
Perşembe;0,00903084
Cuma;7,73874E-05
Pazartesi;0,01809796
Salı;0,004297222
Çarşamba;0,002116536
Perşembe;-0,011480339
Cuma;0,010284039
Pazartesi;0,0157267
Salı;0,007697716
Çarşamba;0,012549395
Perşembe;-0,005949278
Cuma;0,006483953
Pazartesi;-0,00054683
Salı;0,003167459
Çarşamba;0,003918112
Perşembe;0,0116392
Cuma;0,004677383
Perşembe;-0,024776624
Cuma;-0,000767119
Pazartesi;-0,002451415
Salı;-0,015393912
Çarşamba;-0,015118296
Perşembe;-0,007442776
Cuma;0,004505139
Pazartesi;-0,024644949
Salı;0,007169691
Çarşamba;-0,002676172
Perşembe;-0,000631488
Cuma;-0,011383354
Pazartesi;0,008439745
Salı;0,024698289
Çarşamba;-0,005172545
Perşembe;0,001153176
Cuma;-0,000354682
Pazartesi;0,004197437
Salı;0,018648676
Çarşamba;-0,003560334
Perşembe;0,00459999
Cuma;-0,006515651
Pazartesi;0,006354823
Salı;-0,00142384
Çarşamba;0,007185127
Perşembe;0,011423943
Cuma;-0,000401413
Pazartesi;8,51618E-05
Salı;-0,026129167
Çarşamba;-0,00662781
Perşembe;-0,007380945
Cuma;-0,014606062
Pazartesi;0,001245674
Salı;0,009159901
Çarşamba;0,004225814
Perşembe;-0,018816385
Cuma;-0,007434401
Pazartesi;-0,000676238
Salı;-0,002618229
Çarşamba;-0,019439313
Perşembe;-0,008038285
Cuma;0,000549513
Pazartesi;0,00018757
Salı;0,003904166
Çarşamba;-0,010503608
Perşembe;-0,004013166
Cuma;0,007096534
Çarşamba;-0,019562551
Perşembe;0,030579294
Cuma;-0,023053838
Pazartesi;0,021829815
Salı;-0,005727538
Çarşamba;0,00226022
Perşembe;-0,003747528
Cuma;0,012750907
Pazartesi;0,0105095
Salı;0,017080888
Çarşamba;0,005586714
Perşembe;0,017947377
Cuma;-0,000981675
Pazartesi;-0,002294331
Salı;0,004457772
Perşembe;0,003887445
Cuma;0,008487143
Pazartesi;-0,006873906
Salı;0,002994462
Çarşamba;-0,016480301
Perşembe;-0,018483775
Cuma;0,00576326
Pazartesi;-0,002761705
Salı;0,008453677
Çarşamba;0,025089793
Perşembe;0,005965132
Cuma;0,004145902
Pazartesi;-0,008805835
Salı;0,010257768
Çarşamba;0,001621702
Perşembe;0,012807083
Cuma;0,009288702
Pazartesi;-0,000360287
Salı;0,003345668
Çarşamba;0,008487659
Perşembe;0,005280243
Cuma;0,017324761
Pazartesi;-0,000255345
Salı;-0,014404383
Çarşamba;0
Perşembe;0,015413775
Cuma;-0,011593724
Pazartesi;-0,004951233
Salı;-0,015349641
Çarşamba;0,007145742
Perşembe;0,007012419
Cuma;-0,017768295
Pazartesi;-0,00508343
Salı;-0,044613713
Çarşamba;0,020374177
Perşembe;0,029322966
Cuma;0,004172668
Pazartesi;0,018611474
Salı;-0,007734428
Çarşamba;0,003945431
Perşembe;3,53676E-05
Cuma;0,001437222
Pazartesi;-0,009997185
Salı;0,00515896
Çarşamba;0,013908528
Cuma;-0,003061108
Pazartesi;0,011679848
Salı;0,005156524
Çarşamba;-0,001531491
Perşembe;0,010466258
Cuma;-0,000479075
Pazartesi;0,002472753
Salı;0,005085776
Çarşamba;-0,008528788
Perşembe;0,002053553
Cuma;-0,003733755
Pazartesi;0,006726662
Salı;0,013476046
Çarşamba;0,012400375
Perşembe;0,006511589
Cuma;-0,001838813
Pazartesi;0,007433509
Salı;-0,002881199
Çarşamba;-0,008904033
Perşembe;-0,019944764
Cuma;0,004371739
Pazartesi;0,008586242
Salı;-0,024874041
Çarşamba;-0,018441409
Perşembe;-0,001409444
Cuma;-0,00939249
Pazartesi;-0,004871413
Salı;-0,017389668
Çarşamba;0,003758748
Perşembe;0,031315976
Cuma;-0,003188051
Pazartesi;0,002700031
Salı;-0,018960361
Çarşamba;0,011974217
Perşembe;0,011311917
Cuma;-0,010761987
Pazartesi;0,009302826
Salı;0,004659534
Çarşamba;0,000484362
Perşembe;-0,009475999
Cuma;-0,020781282
Pazartesi;-0,002391506
Salı;0,004243666
Çarşamba;-0,026893327
Perşembe;-0,015806577
Cuma;-0,005835264
Pazartesi;0,00416266
Salı;-0,033642895
Çarşamba;0,003839906
Perşembe;0,000204381
Cuma;-0,02131297
Pazartesi;0,020073266
Salı;0,023195564
Çarşamba;-0,001112688
Perşembe;0,024466203
Cuma;0,007103443
Pazartesi;0,014869626
Salı;-0,020619038
Çarşamba;0,00748112
Perşembe;-0,014220588
Cuma;-0,007242481
Pazartesi;0,01582098
Salı;-0,016414525
Çarşamba;0,004479968
Perşembe;0,005734123
Cuma;0,016008115
Pazartesi;0,001637332
Salı;-0,00801956
Çarşamba;0,004029897
Perşembe;0,008598298
Cuma;-0,010447856
Pazartesi;-0,008603563
Salı;0,004651228
Çarşamba;-0,011754922
Perşembe;0,013175196
Cuma;-0,000230506
Pazartesi;-0,001396301
Salı;0,023713299
Çarşamba;-0,005926543
Cuma;0,020918374
Pazartesi;0,009898134
Salı;-0,002236243
Çarşamba;-0,002683131
Perşembe;-0,023905802
Pazartesi;0,000857316
Salı;-0,007622498
Çarşamba;-0,01133758
Perşembe;0,001563532
Cuma;0,017884411
Pazartesi;0,008210314
Salı;0,007171608
Çarşamba;0,012271664
Perşembe;0,009524375
Cuma;0,004129283
